Pot,Treatment,Bed,Row,Col,Dried.Root.Biomass.per.g,Average.dried.root.biomass.per.plant.g,TAI
1,G,1,1,1,1.69,0.6,33.3
3,F,1,1,3,1.13,0.4,53.3
4,A,1,1,4,2.11,0.7,20
5,C,1,1,5,2.36,1.2,93.3
6,E,1,1,6,0.98,0.3,20
7,B,1,1,7,1.01,0.3,80
8,A,2,1,1,0.62,0.2,20
9,E,2,1,2,0.93,0.3,20
10,G,2,1,3,1.15,0.4,20
11,B,2,1,4,1.87,0.6,93.3
13,F,2,1,6,1.35,0.5,40
14,C,2,1,7,0.86,0.3,93.3
15,F,1,2,1,2.35,0.8,53.3
16,C,1,2,2,0.72,0.4,66.7
17,E,1,2,3,2.13,0.7,40
18,G,1,2,4,1.9,0.6,73.3
19,B,1,2,5,3.06,1,86.7
21,A,1,2,7,0.95,0.3,20
22,C,2,2,1,1.02,0.3,80
23,G,2,2,2,1,0.3,60
24,B,2,2,3,2.25,0.8,66.7
26,F,2,2,5,1.51,0.5,66.7
27,A,2,2,6,1.54,0.5,20
28,E,2,2,7,1.32,0.4,20
29,B,1,3,1,0.69,0.2,86.7
30,F,1,3,2,0.9,0.3,53.3
31,A,1,3,3,0.37,0.1,20
32,C,1,3,4,1.54,0.5,66.7
33,E,1,3,5,0.59,0.2,20
34,G,1,3,6,1.53,0.5,26.7
37,A,2,3,2,2.93,1,33.3
38,C,2,3,3,0.97,0.3,86.7
39,E,2,3,4,1.28,0.4,40
40,G,2,3,5,0.47,0.2,93.3
41,B,2,3,6,1.92,0.6,66.7
42,F,2,3,7,1.19,0.4,80
